"id","year","temperaturamnimaextrema_acum","latitud","longitud","geom"
23,"2012",-1.7,19.023333,-97.56695,POINT (-97.56694793701172 19.023332595825195)
24,"2012",-1.5,19.610277,-98.64167,POINT (-98.64167022705078 19.61027717590332)
25,"2012",-1.4,26.474167,-106.388336,POINT (-106.38833618164062 26.474166870117188)
26,"2012",-1.4,26.475555,-106.3875,POINT (-106.38749694824219 26.475555419921875)
27,"2012",-1.3,18.836945,-97.547226,POINT (-97.54722595214844 18.836944580078125)
28,"2012",-1.3,25.084723,-100.333336,POINT (-100.33333587646484 25.0847225189209)
29,"2012",-1.2,19.1125,-97.95611,POINT (-97.95610809326172 19.112499237060547)
30,"2012",-1.2,19.713055,-99.62861,POINT (-99.62860870361328 19.713054656982422)
31,"2012",-1.1,24.976944,-104.76889,POINT (-104.76889038085938 24.976943969726562)
32,"2012",-1.0,19.085278,-97.54139,POINT (-97.54138946533203 19.085277557373047)
33,"2012",-1.0,19.340834,-99.79833,POINT (-99.79833221435547 19.34083366394043)
34,"2012",-0.9,19.29861,-99.368614,POINT (-99.36861419677734 19.29861068725586)
35,"2012",-0.9,19.399166,-99.90833,POINT (-99.90833282470703 19.399166107177734)
36,"2012",-0.8,19.462223,-99.77556,POINT (-99.77555847167969 19.462223052978516)
37,"2012",-0.7,19.318056,-97.647224,POINT (-97.64722442626953 19.318056106567383)
38,"2012",-0.7,28.759722,-107.6975,POINT (-107.69750213623047 28.759721755981445)
39,"2012",-0.6,19.872778,-98.718056,POINT (-98.71805572509766 19.872777938842773)
40,"2012",-0.5,19.391388,-99.525276,POINT (-99.52527618408203 19.391387939453125)
41,"2012",-0.5,19.428055,-97.79889,POINT (-97.79888916015625 19.428054809570312)
42,"2012",-0.5,19.855,-99.96778,POINT (-99.96778106689453 19.854999542236328)
43,"2012",-0.5,22.673056,-102.04083,POINT (-102.04083251953125 22.67305564880371)
44,"2012",-0.5,32.003613,-115.94833,POINT (-115.94833374023438 32.00361251831055)
45,"2012",-0.4,16.796944,-92.69666,POINT (-92.69666290283203 16.79694366455078)
46,"2012",-0.4,19.555555,-98.202774,POINT (-98.20277404785156 19.55555534362793)
47,"2012",-0.4,25.933056,-105.95167,POINT (-105.95166778564453 25.933055877685547)
48,"2012",-0.3,18.60389,-97.2725,POINT (-97.27249908447266 18.60388946533203)
49,"2012",-0.3,19.411945,-97.39389,POINT (-97.39389038085938 19.411945343017578)
50,"2012",-0.3,20.054445,-99.69028,POINT (-99.69027709960938 20.054445266723633)
51,"2012",-0.3,20.159445,-98.55666,POINT (-98.5566635131836 20.15944480895996)
52,"2012",-0.3,25.567223,-104.291664,POINT (-104.29166412353516 25.567222595214844)
53,"2012",-0.2,20.040556,-98.17389,POINT (-98.17388916015625 20.040555953979492)
54,"2012",-0.2,25.953333,-105.36667,POINT (-105.36666870117188 25.953332901000977)
55,"2012",-0.1,17.573334,-97.5225,POINT (-97.52249908447266 17.573333740234375)
56,"2012",-0.1,22.4875,-102.46,POINT (-102.45999908447266 22.487499237060547)
57,"2012",-0.1,22.627777,-103.8975,POINT (-103.89749908447266 22.627777099609375)
58,"2012",-0.1,24.566668,-100.238335,POINT (-100.23833465576172 24.566667556762695)
59,"2012",0.0,19.385279,-97.28917,POINT (-97.28916931152344 19.385278701782227)
60,"2012",0.0,19.504723,-99.90667,POINT (-99.90666961669922 19.504722595214844)
61,"2012",0.0,23.091944,-103.67111,POINT (-103.67111206054688 23.091943740844727)
62,"2012",0.0,28.501389,-107.47,POINT (-107.47000122070312 28.501388549804688)
63,"2012",0.1,16.677778,-92.48917,POINT (-92.48916625976562 16.677778244018555)
