temperaturamnimaextrema_ACUM,latitud,longitud
5,19.55472222,-98.56805556
5,19.57222222,-99.28694444
5,19.6725,-99.68333333
5,20.08416667,-99.90694444
5,21.65,-101.4797222
5,21.93333333,-103.0933333
5,22.52083333,-104.3186111
5,26.23111111,-104.4983333
5,27.64722222,-113.4430556
5,20.71916667,-99.6925
5.1,17.33305556,-96.48305556
5.1,19.20777778,-98.75833333
5.1,19.29222222,-99.76777778
5.1,19.71944444,-100.0419444
5.1,19.81194444,-100.0813889
5.1,23.73333333,-101.2244444
5.2,18.99083333,-99.42083333
5.2,19.08361111,-98.73833333
5.2,19.76333333,-99.04388889
5.2,19.89277778,-100.4425
5.2,19.93777778,-99.01194444
5.2,19.98555556,-102.2830556
5.2,19.98944444,-100.5891667
5.2,20.00083333,-97.79416667
5.2,21.72583333,-102.2722222
5.2,21.80944444,-102.1297222
5.2,21.92333333,-103.3163889
5.2,22.57777778,-102.2694444
5.3,20.51027778,-97.66805556
5.3,20.64055556,-98.65527778
5.3,20.95777778,-100.8933333
5.3,21.46861111,-103.4619444
5.3,22.65333333,-102.355
5.3,22.85805556,-102.6066667
5.3,23.45361111,-99.50916667
5.3,23.63472222,-103.6397222
5.3,23.63888889,-103.6366667
5.3,24.09472222,-104.5997222
5.3,30.05055556,-111.0213889
5.3,20.12916667,-100.0097222
5.3,20.3825,-100.3872222
5.4,18.60388889,-97.2725
5.4,18.92861111,-99.72861111
5.4,19.55805556,-99.41388889
5.4,19.58111111,-99.27833333
5.4,19.8025,-102.2888889
5.4,19.85166667,-98.93638889
5.4,19.86,-97.58555556
5.4,19.96055556,-102.5844444
5.4,22.6175,-100.3980556
5.4,23.54222222,-110.1491667
5.5,19.02416667,-98.21555556
5.5,19.06861111,-98.31805556
5.5,19.48472222,-98.88638889
5.5,19.49388889,-99.84166667
5.5,19.54388889,-98.91277778
5.5,19.70444444,-99.21916667
5.5,20.08777778,-98.74972222
5.5,20.27222222,-98.66361111
5.5,22.92027778,-101.095
5.5,24.20527778,-104.6580556
5.5,21.32527778,-99.20416667
5.5,27.9797222,-102.6944444
5.6,19.16194444,-98.40638889
5.6,20.08416667,-98.3575
5.6,20.38055556,-98.96444444
5.6,21.98638889,-102.35
5.6,23.96444444,-104.735
5.6,24.40111111,-103.7369444
5.7,19.32388889,-98.24666667
5.7,19.47666667,-99.09138889
5.7,19.96388889,-99.31194444
5.7,20.1,-99.82
5.7,21.87722222,-102.4633333
5.7,21.91638889,-101.9694444
5.7,22.15666667,-103.2327778
5.7,23.16444444,-101.8858333
5.7,24.65138889,-111.2152778
5.7,26.10638889,-103.4427778
5.8,18.62,-97.41055556
5.8,18.68,-99.56083333
5.8,19.81527778,-97.36
5.8,23.28888889,-102.3441667
5.8,24.57666667,-102.7802778
5.8,26.76416667,-112.4186111
5.8,29.71055556,-110.5705556
5.8,25.69666667,-103.3402778
5.9,17.68666667,-97.39166667
5.9,19.47694444,-98.87777778
5.9,19.82444444,-97.80722222
5.9,22.33305556,-103.4933333
5.9,26.74166667,-104.3380556
6,16.71416667,-92.62888889
6,17.96666667,-97.41666667
6,19.26277778,-99.00361111
6,19.29138889,-97.34194444
6,19.53194444,-98.91055556
6,20.60805556,-102.2152778
6,21.10777778,-100.8780556
6,21.36027778,-101.9205556
6,21.73111111,-102.4527778
6,22.14722222,-102.2791667
6,25.39722222,-111.755
6,25.42,-104.28
6,26.68555556,-103.7469444
6,31.86138889,-112.8544444
6,20.49194444,-100.3033333
6,25.75722222,-102.9955556
6.1,19.17888889,-99.00277778
6.1,22.03916667,-101.8925
6.1,22.13388889,-99.54
6.1,23.17388889,-102.8908333
6.1,25.18333333,-104.5625
6.1,31.61027778,-115.9375
6.2,17.13638889,-96.62805556
6.2,20.04444444,-98.36833333
6.2,20.615,-99.11555556
6.2,20.91916667,-100.4313889
6.2,22.07888889,-102.2730556
6.2,22.08833333,-101.9672222
6.2,23.47222222,-109.4527778
6.2,24.93,-111.6283333
6.2,25.83222222,-103.8466667
6.2,29.00361111,-110.1377778
6.2,20.18472222,-100.1455556
6.2,20.78555556,-100.0452778
6.3,19.92111111,-100.8622222
6.3,20.05694444,-102.7238889
6.3,20.25777778,-102.5894444
6.3,20.28083333,-98.65861111
6.3,20.31944444,-101.4591667
6.3,21.54,-102.5966667
6.3,22.25305556,-99.67416667
6.3,22.74555556,-102.3694444
6.4,18.95555556,-98.27527778
6.4,19.09305556,-98.05944444
6.4,19.35777778,-98.99166667
6.4,19.7725,-100.2883333
6.4,22.41194444,-99.84694444
6.4,27.54388889,-105.4119444
