lluviatotalmensual_ACUM,latitud,longitud
1095.4,18.24527778,-99.66194444
1473.81,18.25,-95.35972222
2616.21,18.25,-96.4
8244.7,18.25,-96.81666667
1810,18.25305556,-92.09194444
1777.67,18.25833333,-95.94166667
1448.9,18.27055556,-95.55694444
2651.5,18.29333333,-88.64166667
969.2,18.29555556,-98.81555556
310.23,18.29583333,-97.16388889
7543.05,18.29805556,-99.11972222
370.65,18.3,-98.05
997.25,18.3025,-99.33277778
1726.5,18.30416667,-95.84194444
1390.8,18.30638889,-99.33444444
840,18.31333333,-101.735
914.7,18.32361111,-98.81972222
2099.16,18.33,-97.01416667
503.78,18.33194444,-97.47444444
753.5,18.33527778,-100.0725
962.2,18.33805556,-99.64666667
108.5,18.34777778,-99.4775
1191.64,18.34972222,-99.55
695,18.37555556,-98.36305556
2162.32,18.38416667,-92.6
1127.8,18.3875,-88.9125
3892.36,18.405,-96.83583333
2068.63,18.43055556,-97.025
1461.4,18.43888889,-95.17777778
1818.3,18.45833333,-88.93222222
92.6,18.45944444,-99.40083333
339.61,18.46388889,-97.39305556
2139.14,18.46666667,-95.43611111
880.41,18.47111111,-98.77777778
19.5,18.48333333,-98.71666667
1544.68,18.49972222,-88.32638889
1558.53,18.50166667,-88.29805556
1072.49,18.50277778,-99.79222222
1878.33,18.50305556,-88.48138889
3257.33,18.50416667,-95.03555556
1143.02,18.50833333,-89.395
437,18.51,-88.56861111
1585.13,18.51888889,-88.30083333
835.97,18.52,-99.145
594.64,18.52666667,-98.58222222
1277.01,18.52805556,-97.14472222
1011.16,18.52916667,-99.07
666.7,18.53111111,-98.9375
859,18.545,-100.6
23.53,18.54611111,-99.64527778
1038.2,18.55,-99.6
1493.3,18.57222222,-88.45944444
948.4,18.5775,-99.18055556
1255.36,18.59222222,-89.41722222
689.28,18.59611111,-97.93
2633.42,18.59722222,-95.44722222
1177.9,18.60055556,-88.80972222
1357.1,18.60083333,-99.54305556
644.69,18.60388889,-97.2725
1767.47,18.60444444,-90.74111111
102,18.61,-99.42444444
568.19,18.61222222,-98.46805556
581.03,18.6125,-98.165
352.18,18.62,-97.41055556
1553,18.63166667,-91.05027778
68.4,18.63555556,-90.16555556
1282.2,18.63833333,-90.29833333
826.5,18.64333333,-98.69111111
2042.8,18.64638889,-95.53194444
12045.5,18.64777778,-99.64861111
690.74,18.65,-99.18333333
704,18.65083333,-98.9925
1896.3,18.65472222,-91.76166667
834.72,18.67111111,-99.5
635,18.68,-99.56083333
1084.35,18.68,-99.46361111
787.7,18.685,-99.24388889
613.06,18.69166667,-100.4302778
829.2,18.69166667,-98.82472222
954.35,18.70027778,-99.38444444
688.56,18.70583333,-99.09388889
1005.9,18.70583333,-87.71388889
675.5,18.7125,-98.2625
296,18.71777778,-99.27861111
1014.37,18.72583333,-99.46916667
1012.25,18.73,-99.38361111
525.8,18.73333333,-102.75
593.17,18.735,-99.26583333
876.5,18.736944,-102.788333
767.1,18.74694444,-99.675
522.09,18.74888889,-98.16916667
751.9,18.75027778,-99.62222222
637,18.7525,-99.85194444
848.31,18.75722222,-99.37277778
861.99,18.75888889,-103.7258333
772.6,18.75916667,-99.12111111
890.95,18.77055556,-100.2572222
1971.79,18.77083333,-95.75555556
1729.43,18.77805556,-90.9225
664.71,18.77861111,-98.54083333
985.8,18.78111111,-100.4363889
1681.79,18.78222222,-91.49444444
690.6,18.79805556,-98.81222222
756.8,18.80333333,-103.7738889
1227.13,18.80694444,-99.77916667
483.28,18.81027778,-98.95083333
996,18.81305556,-88.57277778
1097.18,18.81555556,-103.6341667
857,18.82611111,-99.82
242.1,18.83694444,-97.54722222
167.9,18.85,-97.1
1017.46,18.85111111,-99.78138889
723.23,18.85444444,-99.02166667
932.28,18.85444444,-99.22722222
585.8,18.85805556,-98.595
253.5,18.85861111,-97.46305556
1055.2,18.86027778,-99.32638889
1162.81,18.8675,-99.42916667
607.5,18.86944444,-97.91972222
1047.52,18.87805556,-98.77527778
1008.61,18.88,-99.15333333
164.21,18.88083333,-97.43527778
592.9,18.88388889,-98.38027778
1054.18,18.885,-98.69027778
112.9,18.89222222,-99.23333333
1300.7,18.89305556,-100.1022222
395.34,18.8975,-98.13222222
327.5,18.89833333,-97.72805556
997.5,18.90222222,-103.7919444
528.61,18.90277778,-99.455
1526.57,18.90277778,-100.7361111
885.7,18.90833333,-103.8744444
494.7,18.91416667,-101.7177778
1182.31,18.91694444,-99.68472222
1241.67,18.91861111,-99.23416667
900.83,18.92027778,-97.2525
725.2,18.92166667,-98.45416667
704.4,18.92194444,-98.55138889
1017.57,18.92305556,-99.76611111
242.7,18.92805556,-97.51138889
1150.11,18.92861111,-99.72861111
1658,18.92888889,-97.23277778
768.87,18.93,-104.0811111
979.68,18.93055556,-99.93388889
1009.3,18.93083333,-100.5647222
1458.04,18.93416667,-90.59888889
872,18.93666667,-98.92805556
880.21,18.93833333,-103.9463889
556.73,18.93888889,-98.135
971.21,18.94722222,-98.82916667
10,18.94833333,-99.33138889
