temperaturamximaextrema_ACUM,latitud,longitud
38.5,18.03361111,-102.1958333
36.5,18.05666667,-90.82055556
35.5,18.09194444,-92.13888889
35,18.09611111,-99.55638889
34.4,18.10833333,-93.345
37.1,18.10944444,-98.48333333
36.9,18.11111111,-93.49666667
36.5,18.12611111,-89.14361111
36.6,18.13416667,-99.92583333
11,18.13416667,-99.83111111
34,18.1375,-94.77083333
35.5,18.14444444,-95.29583333
11,18.17472222,-93.48888889
36.2,18.18277778,-91.04583333
36.2,18.18444444,-91.04611111
36.5,18.1875,-96.09444444
34.6,18.19916667,-97.88638889
37.9,18.19972222,-98.26027778
32.8,18.2025,-97.4525
30.7,18.22166667,-89.45361111
34.8,18.2225,-99.2075
28.4,18.22777778,-97.57805556
35,18.23166667,-88.66555556
40,18.24527778,-99.66194444
28.9,18.25,-96.81666667
35.8,18.25,-96.4
34.8,18.25,-95.35972222
35.7,18.25305556,-92.09194444
34.2,18.25833333,-95.94166667
37.3,18.27055556,-95.55694444
37.8,18.29333333,-88.64166667
33.9,18.29555556,-98.81555556
37.2,18.29583333,-97.16388889
37.2,18.29805556,-99.11972222
35.6,18.3,-98.05
34.3,18.3025,-99.33277778
27.6,18.31333333,-101.735
34.5,18.32361111,-98.81972222
33.7,18.33,-97.01416667
35.4,18.33194444,-97.47444444
29,18.33527778,-100.0725
11,18.34777778,-99.4775
35.1,18.34972222,-99.55
37.1,18.37555556,-98.36305556
37.9,18.38416667,-92.6
37.4,18.3875,-88.9125
39.2,18.39083333,-92.88333333
34.9,18.405,-96.83583333
28.1,18.43055556,-97.025
36.5,18.45833333,-88.93222222
32.6,18.45944444,-99.40083333
33.6,18.46388889,-97.39305556
35.8,18.46666667,-95.43611111
37.5,18.47111111,-98.77777778
34.4,18.49972222,-88.32638889
34.3,18.50166667,-88.29805556
30.1,18.50277778,-99.79222222
34,18.50305556,-88.48138889
34.5,18.50416667,-95.03555556
34.9,18.50833333,-89.395
35.5,18.51,-88.56861111
33.6,18.51888889,-88.30083333
38.2,18.52,-99.145
34.8,18.52666667,-98.58222222
17.6,18.52805556,-97.14472222
36.4,18.52916667,-99.07
31.2,18.53111111,-98.9375
11,18.545,-100.6
34.2,18.57222222,-88.45944444
38.8,18.5775,-99.18055556
38.1,18.58388889,-99.18416667
33.4,18.59222222,-89.41722222
25.1,18.59611111,-97.93
35.2,18.59722222,-95.44722222
40.5,18.60055556,-88.80972222
31.8,18.60083333,-99.54305556
25.9,18.60388889,-97.2725
36.4,18.60444444,-90.74111111
11,18.61,-99.42444444
34.6,18.61222222,-98.46805556
35.2,18.6125,-98.165
30.9,18.62,-97.41055556
38.2,18.63166667,-91.05027778
11,18.63555556,-90.16555556
35.3,18.63833333,-90.29833333
36.7,18.64333333,-98.69111111
37.8,18.64638889,-95.53194444
36.8,18.64777778,-99.64861111
38,18.65,-99.18333333
39,18.65083333,-98.9925
35.4,18.65472222,-91.76166667
32,18.67111111,-99.5
26.9,18.68,-99.56083333
34.1,18.68,-99.46361111
36.7,18.685,-99.24388889
24.8,18.69166667,-100.4302778
33.6,18.69166667,-98.82472222
37.2,18.70027778,-99.38444444
36.8,18.70583333,-99.09388889
34.7,18.7125,-98.2625
33.3,18.71777778,-99.27861111
34.6,18.72583333,-99.46916667
35.5,18.73,-99.38361111
35.7,18.73333333,-102.75
33.6,18.735,-99.26583333
32.2,18.736944,-102.788333
36.9,18.74694444,-99.675
39.6,18.74888889,-98.16916667
32,18.75027778,-99.62222222
35.8,18.7525,-99.85194444
36.2,18.75722222,-99.37277778
36.2,18.75888889,-103.7258333
35.8,18.75916667,-99.12111111
37.8,18.77055556,-100.2572222
33.9,18.77083333,-95.75555556
32.8,18.77805556,-90.9225
34.1,18.77861111,-98.54083333
32.8,18.78111111,-100.4363889
35.8,18.78222222,-91.49444444
33,18.79805556,-98.81222222
36.2,18.80333333,-103.7738889
29.8,18.80694444,-99.77916667
31.7,18.81027778,-98.95083333
32.6,18.81305556,-88.57277778
39.3,18.81555556,-103.6341667
29.6,18.82611111,-99.82
31.8,18.83694444,-97.54722222
11,18.85,-97.1
29.4,18.85111111,-99.78138889
36.2,18.85444444,-99.22722222
34.1,18.85444444,-99.02166667
31.2,18.85805556,-98.595
27.2,18.85861111,-97.46305556
32.4,18.86027778,-99.32638889
31,18.8675,-99.42916667
33.2,18.86944444,-97.91972222
29.4,18.87805556,-98.77527778
33.2,18.88,-99.15333333
31.8,18.88388889,-98.38027778
26.3,18.885,-98.69027778
11,18.89222222,-99.23333333
30.6,18.89305556,-100.1022222
28.3,18.8975,-98.13222222
29.2,18.89833333,-97.72805556
35.5,18.90222222,-103.7919444
39.1,18.90277778,-100.7361111
34,18.90277778,-99.455
39.1,18.90833333,-103.8744444
39.2,18.91416667,-101.7177778
32.2,18.91694444,-99.68472222
31.2,18.91861111,-99.23416667
27.3,18.92027778,-97.2525
30,18.92166667,-98.45416667
27,18.92194444,-98.55138889
25.8,18.92305556,-99.76611111
25.1,18.92805556,-97.51138889
25.2,18.92861111,-99.72861111
35.9,18.93,-104.0811111
25,18.93055556,-99.93388889
33.5,18.93083333,-100.5647222
31.2,18.93666667,-98.92805556
37.2,18.93833333,-103.9463889
31.3,18.93888889,-98.135
