year,lluviatotalmensual_ACUM,latitud,longitud
2012,146.01,27.04611111 ,-101.7930556 
2012,148,24.98805556,-102.2130556
2012,149.7,17.79166667,-91.15833333
2012,150.3,27.98333333,-110.9666667
2012,150.7,20.44166667,-97.76138889
2012,152.52,30.51722222,-115.9313889
2012,153.6,20.59527778,-89.00527778
2012,154,27.14222222 ,-101.6522222 
2012,154.3,31.73944444,-106.4869444
2012,155.2,28.90361111,-111.555
2012,157.5,21.0275,-98.28972222
2012,157.91,23.90277778,-101.7191667
2012,159.01,31.32916667,-116.2477778
2012,161,26.4825 ,-103.0352778 
2012,162.4,24.39388889,-101.0966667
2012,163.9,24.21444444,-101.9222222
2012,164.7,25.75888889 ,-103.0536111 
2012,167.4,21.14083333,-98.85416667
2012,167.5,22.6375,-105.3208333
2012,168,23.49777778,-102.1336111
2012,168.7,24.71583333,-100.0158333
2012,168.77,32.44694444,-116.9077778
2012,170.4,18.93277778,-90.59861111
2012,171.58,28.16722222,-105.6275
2012,173.3,24.10416667,-98.81138889
2012,173.98,32.47222222,-116.8211111
2012,175.4,27.88666667 ,-101.4022222 
2012,175.8,25.43333333 ,-101 
2012,176.1,26.74166667,-104.3380556
2012,176.7,23.28555556,-101.2108333
2012,177,22.925,-100.4611111
2012,178.18,26.68555556,-103.7469444
2012,178.3,18.30111111,-99.87222222
2012,178.3,27.51888889 ,-100.6197222 
2012,181.2,17.4725,-91.42666667
2012,182.6,16.88805556,-99.86194444
2012,183.5,29.68416667,-110.955
2012,183.6,16.06805556,-96.79416667
2012,185.75,24.08027778,-109.9944444
2012,187,25.11611111 ,-102.6322222 
2012,187.73,25.75722222 ,-102.9955556 
2012,190,27.07805556,-100.4908333
2012,191.4,16.6,-97.2
2012,192,27.41111111,-112.5777778
2012,193.4,17.22083333,-93.73388889
2012,194.31,26.885,-112.6161111
2012,194.9,24.59,-102.1108333
2012,195.53,22.15277778,-100.9772222
2012,197,23.30416667,-101.4288889
2012,197.01,23.96805556,-109.9361111
2012,199,26.16972222,-100.4644444
2012,200.6,16.83388889,-92.58027778
2012,200.7,18.1,-101.0516667
2012,202.44,20.05611111,-98.33444444
2012,202.52,27.18277778 ,-101.4327778 
2012,202.56,27.00388889 ,-101.7244444 
2012,203,27.1375,-112.9055556
2012,203.5,29.125,-110.4772222
2012,203.8,17.83666667,-93.94166667
2012,204.5,21.695,-101.0244444
2012,204.64,30.69777778,-112.1
2012,204.8,22.85888889,-100.1516667
2012,206.37,22.07555556,-99.86527778
2012,206.5,25.85027778,-100.5241667
2012,207.44,25.54611111,-103.5219444
2012,207.7,22.83194444,-101.9125
2012,208.5,25.96222222,-100.0155556
2012,210.1,24.81472222 ,-102.95 
2012,210.35,22.245,-100.9116667
2012,210.53,29.80722222,-109.14
2012,212,23.84333333,-101.96
2012,213.5,23.61805556,-101.7230556
2012,213.5,27.42222222 ,-101.0022222 
2012,213.87,25.77388889 ,-103.2627778 
2012,215.2,27.12555556,-109.8419444
2012,216,23.14805556,-101.3430556
2012,216.25,27.56166667,-109.8458333
2012,216.3,22.99694444,-102.6605556
2012,217.09,31.89583333,-115.5972222
2012,217.17,27.59833333,-109.9302778
2012,217.5,25.94111111,-100.6869444
2012,217.52,27.22916667 ,-101.2275 
2012,218,24.79166667,-112.1111111
2012,218.34,28.97861111,-105.3116667
2012,218.51,24.57666667,-102.7802778
2012,220.9,21.26527778,-102.7769444
2012,222.7,22.61694444,-102.7672222
2012,223,24.44388889,-102.3736111
2012,223.26,23.17388889,-102.8908333
2012,223.5,27.17194444,-100.4105556
2012,224.1,21.3925,-88.89138889
2012,224.37,22.09833333,-100.71
2012,224.92,22.14972222,-100.975
2012,225.3,24.05222222,-110.2011111
2012,225.7,22.28444444,-103.7358333
2012,227,26.16388889,-100.8277778
2012,229.69,26.32388889,-104.3511111
2012,230,24.96027778 ,-100.8605556 
2012,230.2,26.26861111,-109.0372222
2012,232.1,31.14833333,-109.5413889
2012,232.8,22.18305556,-100.9408333
2012,234,23.46444444,-100.9894444
2012,234.87,31.32583333,-109.5488889
2012,234.9,22.83166667,-102.4988889
2012,235.5,21.105,-101.5522222
2012,237.28,32.49055556,-116.6838889
2012,237.33,23.44972222,-102.9597222
2012,237.61,27.41305556,-110.2469444
2012,238,24.09222222,-100.3877778
2012,241.5,24.84444444,-110.9736111
2012,243.12,23.13055556,-101.1102778
2012,243.36,31.86138889,-112.8544444
2012,244,27.42916667,-100.3738889
2012,244.14,24.77972222,-111.15
2012,244.6,22.09055556,-101.1152778
2012,245.16,27.54388889,-105.4119444
2012,246.4,23.09361111,-101.5588889
2012,246.89,23.81694444,-103.0258333
2012,249,30.74166667,-111.1583333
2012,249.36,19.45833333,-100.4941667
2012,249.6,18.79805556,-98.81222222
2012,249.7,21.77083333,-99.91472222
2012,249.87,30.37444444,-109.6875
2012,250.6,24.44333333,-103.1325
2012,251.62,27.29166667,-109.3583333
2012,251.63,24.63138889,-102.7827778
2012,252.25,32.10194444,-116.8111111
2012,252.5,24.22972222,-102.1508333
2012,252.92,22.77888889,-102.5669444
2012,253.6,24.78166667,-102.175
2012,255.5,26.88888889,-111.9844444
2012,256.22,27.62388889,-110.4166667
2012,257,23.16444444,-101.8858333
2012,257.14,30.05472222,-106.9069444
2012,257.2,24.69638889,-100.4419444
2012,258,22.36277778,-99.86416667
2012,258,23.11444444,-101.5458333
2012,258.5,23.79222222,-109.875
2012,259,22.85944444,-100.6886111
2012,259.7,26.42388889,-109.025
2012,260,24.03611111,-110.125
2012,260.5,26.49138889,-100.0583333
2012,261.9,22.25611111,-99.86305556
2012,262.17,23.69944444,-101.93
2012,263.5,26.64138889 ,-101.3583333 
2012,263.9,23.24138889,-102.5747222
2012,263.96,22.13277778,-100.0577778
2012,264.05,25.18333333,-104.5625
2012,264.2,19.71305556,-99.62861111
2012,265,26.54333333,-111.5491667
2012,265.01,27.29861111,-112.875
2012,265.13,23.63472222,-101.3938889
2012,265.25,23.23611111,-100.9533333
2012,265.81,22.85805556,-102.6066667
2012,266,23.24222222,-101.2158333
2012,266.65,29.27083333,-110.6358333
2012,268.9,24.1725,-100.2872222
2012,269.75,24.28388889,-100.7841667
2012,269.8,26.50138889,-100.4219444
2012,271.59,29.09888889,-110.9541667
2012,272.28,22.90861111,-102.6597222
2012,272.68,29.26361111,-107.4572222
2012,272.9,25.87861111,-104.1625
2012,273,26.65805556,-99.98638889
2012,273,27.9797222 ,-102.6944444 
2012,273.62,29.07833333,-110.93
2012,274.04,27.57722222,-105.3713889
2012,274.8,23.75583333,-100.7266667
2012,275,24.26222222,-100.4180556
2012,275.65,25.56722222,-104.2916667
2012,275.8,22.65027778,-102.4916667
2012,278.1,24.68777778,-103.2263889
2012,278.1,25.56666667,-103.5333333
2012,280,24.44111111,-100.3572222
2012,280.12,27.61888889,-110.0022222
2012,280.24,28.77333333,-105.9636111
2012,280.5,26.26694444,-100.6091667
2012,281.48,27.70666667,-109.8963889
2012,281.7,27.35416667,-110.0355556
2012,282.23,27.45472222,-110.0361111
2012,282.25,24.14777778,-101.4836111
2012,282.5,26.50055556,-100.1538889
2012,282.5,26.91833333,-109.4533333
2012,282.5,30.63194444,-109.97
2012,282.6,30.72833333,-111.8361111
2012,283,23.68055556,-109.6972222
2012,284.27,22.86527778,-102.1902778
2012,285,26.81555556,-108.9980556
2012,286,24.57805556,-100.4469444
2012,286.32,20.22722222,-98.44861111
2012,286.33,24.13472222,-110.3361111
2012,286.51,22.28,-101.125
2012,286.52,23.55555556,-103.5669444
2012,287,26.8275 ,-102.725 
2012,287.5,22.03916667,-101.8925
2012,287.7,25.63861111,-100.455
2012,287.73,28.28333333,-110.7
2012,288.5,24.14583333,-110.2055556
2012,288.52,28.77166667,-107.2555556
2012,289.6,23.69305556,-103.0936111
2012,289.74,21.80944444,-99.85444444
2012,290.44,27.71305556,-109.9041667
2012,290.52,25.09166667,-111.3255556
2012,291,25.05333333,-111.1222222
2012,291.03,24.30416667,-111.2125
2012,291.1,20.58138889,-100.8280556
2012,291.95,21.7975,-100.7361111
2012,292.5,22.39222222,-100.0661111
2012,294,22.41194444,-99.84694444
2012,294.14,30.35527778,-108.9316667
2012,294.37,27.7,-105.1833333
2012,295,25.08944444,-104.5763889
2012,295.91,27.82305556,-109.8858333
2012,297.5,23.58194444,-110.2208333
2012,297.6,23.53888889,-109.6763889
2012,298.13,22.26472222,-101.9855556
2012,298.15,26.53666667,-100.5333333
2012,299.06,22.60444444,-101.4386111
2012,299.9,27.28555556 ,-103.7002778 
2012,300.27,27.55,-110.5
2012,300.3,25.81361111,-100.79
2012,301,24.44611111,-104.1222222
2012,301.21,26.73861111,-105.16
2012,301.36,23.28166667,-103.1088889
2012,301.55,22.85222222,-101.2488889
2012,301.55,24.2875,-103.4430556
2012,301.8,19.5075,-100.0977778
2012,301.99,22.52055556,-101.9172222
2012,302.44,23.925,-110.2638889
2012,302.82,27.77666667,-109.9044444
2012,304.91,29.15861111 ,-100.9883333 
2012,305.6,23.24888889,-103.8047222
2012,306.46,27.415,-109.6283333
2012,306.9,24.73666667,-103.5855556
2012,307.9,21.43083333,-99.00833333
2012,308,22.74555556,-102.3694444
2012,308.58,21.66694444,-100.5727778
2012,310.9,29.21472222 ,-100.945 
2012,311.17,27.35305556,-109.8594444
2012,312,25.19527778,-112.1111111
2012,312.2,22.94083333,-102.4875
2012,314.2,25.79361111,-100.1972222
2012,315.3,22.92027778,-101.095
2012,316.9,25.26527778,-103.7736111
2012,317.3,17.46111111,-92.7775
2012,317.32,25.11916667 ,-101.1111111 
2012,318.5,24.79305556,-104.0377778
2012,319.22,30.78333333,-110.85
2012,319.6,21.80388889,-100.9333333
2012,319.92,24.02166667,-110.3552778
2012,320.43,22.75666667,-101.6469444
2012,320.83,22.99277778,-102.8372222
2012,321,23.45027778,-102.3891667
2012,321.14,25.37638889 ,-101.0166667 
2012,321.65,24.62138889,-101.3894444
2012,321.67,27.48138889,-109.9380556
2012,321.9,20.54638889,-89.84944444
2012,322,27.2875,-107.1255556
2012,322.5,23.74166667,-109.8402778
2012,322.5,31.31861111,-110.9458333
2012,323.04,31.32694444,-109.9477778
2012,323.31,19.61638889,-99.66833333
2012,323.8,25.01,-105.2116667
2012,325.64,22.66861111,-101.1294444
2012,325.66,24.32472222,-102.885
2012,325.8,15.19444444,-92.34583333
